slug,korean,repositories,trendHeat,useCase,strength,gap,decision,representativeRepo,topFeature,topBucket,topLanguages,featureSummary,bucketSummary,referenceDensity,depthPosition
agent-harness-mcp,에이전트 하네스/MCP,514,83%,"MCP, 도구 등록부, 워크플로 오케스트레이션, hooks/skills를 실제 제품 구조에 넣을 때 기준 카테고리로 본다.",test/eval coverage 90%; MCP/tool 경로 76%; retrieval/memory 경로 84%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","MCP, 도구 등록부, 워크플로 오케스트레이션, hooks/skills를 실제 제품 구조에 넣을 때 기준 카테고리로 본다. 먼저 mem0ai/mem0를 구조 기준점으로 보고, 현재성은 mem0ai/mem0와 대조한다.",mem0ai/mem0,agent-runtime,docs,"Python 175, TypeScript 133, unknown 59","agent-runtime 94%, tests-evals 91%, retrieval-memory 84%, mcp/protocol 80%, security-policy 79%","docs 100%, config 92%, eval 90%, agentRuntime 89%, retrieval 84%",10.7,소스 근거가 평균 이상
general-ai-open-source,일반 AI 오픈소스,268,98%,"넓은 AI 오픈소스 후보를 탐색하되, 특정 설계 패턴은 더 세부 카테고리와 대조해서 읽는다.",트렌드 연결률 98%로 현재성 강함; test/eval coverage 76%,security/policy 경로 16%; CI 경로 40%; 중앙 소스 깊이 60로 직접 확인 필요,"넓은 AI 오픈소스 후보를 탐색하되, 특정 설계 패턴은 더 세부 카테고리와 대조해서 읽는다. 먼저 Aider-AI/aider를 구조 기준점으로 보고, 현재성은 Aider-AI/aider와 대조한다.",Aider-AI/aider,tests-evals,docs,"Python 75, TypeScript 50, Java 26","tests-evals 78%, retrieval-memory 59%, spec-artifacts 46%, agent-runtime 34%, cli-first 34%","docs 99%, eval 76%, config 63%, retrieval 59%, spec 46%",7.4,소스 근거가 평균보다 얕음
llm-wiki-rag,LLM 위키/RAG/지식베이스,172,71%,문서/코드 지식을 수집하고 검색하고 기억으로 유지하는 RAG/knowledge architecture 비교에 쓴다.,test/eval coverage 86%; retrieval/memory 경로 83%; CLI 사용면이 강함,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","문서/코드 지식을 수집하고 검색하고 기억으로 유지하는 RAG/knowledge architecture 비교에 쓴다. 먼저 MervinPraison/PraisonAI를 구조 기준점으로 보고, 현재성은 MervinPraison/PraisonAI와 대조한다.",MervinPraison/PraisonAI,tests-evals,docs,"Python 73, TypeScript 26, unknown 13","tests-evals 86%, retrieval-memory 83%, spec-artifacts 75%, agent-runtime 69%, cli-first 62%","docs 100%, eval 86%, retrieval 83%, config 83%, spec 75%",10.4,소스 근거가 평균 이상
ai-infrastructure-serving,AI 인프라/서빙,75,92%,"모델 서빙, API, 컨테이너, 배포, runtime adapter를 운영 기준으로 비교할 때 쓴다.",트렌드 연결률 92%로 현재성 강함; test/eval coverage 96%; retrieval/memory 경로 95%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","모델 서빙, API, 컨테이너, 배포, runtime adapter를 운영 기준으로 비교할 때 쓴다. 먼저 Mintplex-Labs/anything-llm를 구조 기준점으로 보고, 현재성은 Mintplex-Labs/anything-llm와 대조한다.",Mintplex-Labs/anything-llm,tests-evals,docs,"Python 30, Go 9, C++ 8","tests-evals 96%, retrieval-memory 95%, agent-runtime 91%, spec-artifacts 79%, cli-first 76%","docs 100%, eval 96%, retrieval 95%, agentRuntime 91%, config 91%",10.3,소스 근거가 평균 이상
developer-productivity,개발 생산성/DevTools,49,98%,"CLI, SDK, 자동화, CI, code search를 개발자 workflow로 묶는 방식을 비교한다.",트렌드 연결률 98%로 현재성 강함; test/eval coverage 82%; retrieval/memory 경로 67%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","CLI, SDK, 자동화, CI, code search를 개발자 workflow로 묶는 방식을 비교한다. 먼저 nilbuild/developer-roadmap를 구조 기준점으로 보고, 현재성은 modelcontextprotocol/csharp-sdk와 대조한다.",nilbuild/developer-roadmap,tests-evals,docs,"TypeScript 9, Python 5, C# 4","tests-evals 84%, retrieval-memory 67%, security-policy 67%, agent-runtime 63%, cli-first 53%","docs 100%, eval 82%, ci 71%, config 67%, retrieval 67%",9.1,소스 근거가 평균보다 얕음
eval-observability,평가/관측/품질,27,74%,agent/RAG 품질을 운영 중에 측정하고 회귀를 막는 평가/관측성 구조 비교에 쓴다.,test/eval coverage 100%; retrieval/memory 경로 74%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","agent/RAG 품질을 운영 중에 측정하고 회귀를 막는 평가/관측성 구조 비교에 쓴다. 먼저 mock-server/mockserver-monorepo를 구조 기준점으로 보고, 현재성은 mock-server/mockserver-monorepo와 대조한다.",mock-server/mockserver-monorepo,tests-evals,docs,"Python 8, unknown 8, TypeScript 4","tests-evals 100%, retrieval-memory 74%, spec-artifacts 74%, agent-runtime 70%, security-policy 63%","docs 100%, eval 100%, config 89%, retrieval 74%, spec 74%",9.4,소스 근거가 평균보다 얕음
security-governance,보안/거버넌스/안전,10,90%,"sandbox, permission, policy, guardrail, secret handling을 agent 실행 안정성 관점에서 본다.",트렌드 연결률 90%로 현재성 강함; test/eval coverage 90%,중앙 소스 깊이 75로 직접 확인 필요,"sandbox, permission, policy, guardrail, secret handling을 agent 실행 안정성 관점에서 본다. 먼저 perplexityai/bumblebee를 구조 기준점으로 보고, 현재성은 perplexityai/bumblebee와 대조한다.",perplexityai/bumblebee,tests-evals,docs,"Go 2, Python 2, TypeScript 2","tests-evals 100%, agent-runtime 60%, retrieval-memory 60%, spec-artifacts 60%, security-policy 50%","docs 100%, eval 90%, ci 80%, config 80%, agentRuntime 60%",6.8,소스 근거가 평균보다 얕음
coding-agent-ide,코딩 에이전트/IDE,9,100%,코딩 에이전트 제품/IDE 루프를 설계할 때 참고 구현 후보로 본다.,트렌드 연결률 100%로 현재성 강함; test/eval coverage 100%; MCP/tool 경로 67%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","코딩 에이전트 제품/IDE 루프를 설계할 때 참고 구현 후보로 본다. 먼저 gastownhall/beads를 구조 기준점으로 보고, 현재성은 gastownhall/beads와 대조한다.",gastownhall/beads,agent-runtime,agentRuntime,"Go 3, Python 2, TypeScript 2","agent-runtime 100%, cli-first 100%, tests-evals 100%, retrieval-memory 89%, security-policy 89%","agentRuntime 100%, docs 100%, entrypoints 100%, eval 100%, ci 89%",11.8,소스 근거가 평균 이상
data-vector-platform,데이터/벡터 플랫폼,7,71%,embedding/vector/index/query persistence 구조를 고를 때 쓴다.,test/eval coverage 100%; retrieval/memory 경로 100%; 배포/컨테이너 경로 71%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","embedding/vector/index/query persistence 구조를 고를 때 쓴다. 먼저 milvus-io/milvus를 구조 기준점으로 보고, 현재성은 milvus-io/milvus와 대조한다.",milvus-io/milvus,retrieval-memory,config,"unknown 2, C++ 1, Go 1","retrieval-memory 100%, tests-evals 100%, cli-first 86%, spec-artifacts 86%, agent-runtime 71%","config 100%, docs 100%, eval 100%, retrieval 100%, ci 86%",11.6,소스 근거가 평균 이상
spec-driven,스펙 드리븐/요구사항,5,0%,"요구사항, 설계 문서, acceptance/test trace를 장기 기억으로 남기는 방식 비교에 쓴다.","agent-runtime 60%, spec-artifacts 60%가 주요 강점",트렌드 연결률 0%라 현재성 검증 필요; security/policy 경로 20%; CI 경로 40%,"요구사항, 설계 문서, acceptance/test trace를 장기 기억으로 남기는 방식 비교에 쓴다. 먼저 https-deeplearning-ai/sc-spec-driven-development-files를 구조 기준점으로 보고, 현재성은 https-deeplearning-ai/sc-spec-driven-development-files와 대조한다.",https-deeplearning-ai/sc-spec-driven-development-files,agent-runtime,docs,"Shell 2, Python 1, TypeScript 1","agent-runtime 60%, spec-artifacts 60%, tests-evals 60%, retrieval-memory 40%, agent-instructions 20%","docs 100%, agentRuntime 60%, eval 60%, spec 60%, ci 40%",7.6,소스 근거가 평균보다 얕음
