name,url,role,roleKorean,region,language,stars,maturity,evidence,fileCount,dirCount,maxDepth,truncated,sourceDepthScore,patterns,dependencyCues,keySourceReferences,sourceRisks,deepInsight,reportPath,localPath
anomalyco/opencode,https://github.com/anomalyco/opencode,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,175712,high-signal,deep-source+report,5663,708,10,false,138,monorepo/workspace;cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface,,mcp:packages/web/src/content/docs/mcp-servers.mdx;mcp:packages/web/src/content/docs/zh-tw/mcp-servers.mdx;mcp:packages/web/src/content/docs/zh-cn/mcp-servers.mdx;mcp:packages/web/src/content/docs/tr/mcp-servers.mdx;agentRuntime:AGENTS.md;agentRuntime:CONTEXT.md;agentRuntime:specs/v2/tools.md;agentRuntime:packages/web/src/content/docs/agents.mdx;entrypoints:packages/web/src/content/docs/server.mdx;entrypoints:packages/web/src/content/docs/zh-tw/server.mdx;entrypoints:packages/web/src/content/docs/zh-cn/server.mdx;entrypoints:packages/web/src/content/docs/tr/server.mdx,,"에이전트 하네스/MCP 관점에서 monorepo/workspace, cli-first, api/server 구조로 읽힌다. 핵심 소스 근거는 mcp=packages/web/src/content/docs/mcp-servers.mdx, packages/web/src/content/docs/zh-tw/mcp-servers.mdx, packages/web/src/content/docs/zh-cn/mcp-servers.mdx이고, 의존성 단서는 dependency cue 약함, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/anomalyco__opencode.md,sources/anomalyco__opencode
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,105365,high-signal,deep-source+report,2856,263,10,false,138,monorepo/workspace;cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface,react,mcp:packages/test-utils/src/test-mcp-server-template.mjs;mcp:packages/test-utils/src/test-mcp-server.ts;mcp:packages/core/src/tools/list-mcp-resources.test.ts;mcp:packages/core/src/tools/list-mcp-resources.ts;agentRuntime:tools/gemini-cli-bot/ci-policy.toml;agentRuntime:tools/gemini-cli-bot/README.md;agentRuntime:tools/gemini-cli-bot/metrics/history-helper.ts;agentRuntime:tools/gemini-cli-bot/metrics/index.ts;entrypoints:third_party/get-ripgrep/src/index.js;entrypoints:packages/test-utils/src/index.ts;entrypoints:packages/sdk/src/index.ts;entrypoints:packages/devtools/src/index.ts,,"에이전트 하네스/MCP 관점에서 monorepo/workspace, cli-first, api/server 구조로 읽힌다. 핵심 소스 근거는 mcp=packages/test-utils/src/test-mcp-server-template.mjs, packages/test-utils/src/test-mcp-server.ts, packages/core/src/tools/list-mcp-resources.test.ts이고, 의존성 단서는 react, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/google-gemini__gemini-cli.md,sources/google-gemini__gemini-cli
openai/codex,https://github.com/openai/codex,agent-harness-mcp,에이전트 하네스/MCP,global,Rust,91749,high-signal,deep-source+report,4827,702,10,false,138,monorepo/workspace;cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface,,mcp:codex-rs/utils/plugins/src/mcp_connector.rs;mcp:codex-rs/tui/src/history_cell/mcp.rs;mcp:codex-rs/tui/src/history_cell/snapshots/codex_tui__history_cell__tests__active_mcp_tool_call_snapshot.snap;mcp:codex-rs/tui/src/history_cell/snapshots/codex_tui__history_cell__tests__completed_mcp_tool_call_error_snapshot.snap;agentRuntime:AGENTS.md;agentRuntime:tools/argument-comment-lint/.gitignore;agentRuntime:tools/argument-comment-lint/argument-comment-lint;agentRuntime:tools/argument-comment-lint/BUILD.bazel;entrypoints:tools/argument-comment-lint/src/bin/argument-comment-lint.rs;entrypoints:sdk/typescript/src/index.ts;entrypoints:codex-rs/windows-sandbox-rs/src/bin/setup_main/main.rs;entrypoints:codex-rs/windows-sandbox-rs/src/bin/setup_main/win.rs,,"에이전트 하네스/MCP 관점에서 monorepo/workspace, cli-first, api/server 구조로 읽힌다. 핵심 소스 근거는 mcp=codex-rs/utils/plugins/src/mcp_connector.rs, codex-rs/tui/src/history_cell/mcp.rs, codex-rs/tui/src/history_cell/snapshots/codex_tui__history_cell__tests__active_mcp_tool_call_snapshot.snap이고, 의존성 단서는 dependency cue 약함, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/openai__codex.md,sources/openai__codex
vllm-project/vllm,https://github.com/vllm-project/vllm,agent-harness-mcp,에이전트 하네스/MCP,global,Python,83195,high-signal,deep-source+report,5488,713,8,false,138,cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface;containerized deploy,express;pydantic;torch;vllm,mcp:vllm/entrypoints/mcp/__init__.py;mcp:vllm/entrypoints/mcp/tool_server.py;mcp:vllm/entrypoints/mcp/tool.py;mcp:tests/entrypoints/openai/responses/test_mcp_tools.py;agentRuntime:AGENTS.md;agentRuntime:vllm/v1/executor/__init__.py;agentRuntime:vllm/v1/executor/abstract.py;agentRuntime:vllm/v1/executor/multiproc_executor.py;entrypoints:vllm/entrypoints/cli/main.py;entrypoints:vllm/entrypoints/cli/benchmark/main.py;entrypoints:vllm/benchmarks/sweep/server.py;entrypoints:rust/src/mock-engine/src/main.rs,,"에이전트 하네스/MCP 관점에서 cli-first, api/server, agent/tool runtime 구조로 읽힌다. 핵심 소스 근거는 mcp=vllm/entrypoints/mcp/__init__.py, vllm/entrypoints/mcp/tool_server.py, vllm/entrypoints/mcp/tool.py이고, 의존성 단서는 express, pydantic, torch, vllm, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/vllm-project__vllm.md,sources/vllm-project__vllm
infiniflow/ragflow,https://github.com/infiniflow/ragflow,agent-harness-mcp,에이전트 하네스/MCP,korea,Python,83034,high-signal,deep-source+report,3628,571,11,false,138,cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface;containerized deploy,openai;anthropic;mcp;click;ollama;llama;opentelemetry;prometheus;playwright,mcp:web/src/services/mcp-server-service.ts;mcp:web/src/pages/user-setting/mcp/edit-mcp-dialog.tsx;mcp:web/src/pages/user-setting/mcp/edit-mcp-form.tsx;mcp:web/src/pages/user-setting/mcp/index.tsx;agentRuntime:AGENTS.md;agentRuntime:web/skills-lock.json;agentRuntime:web/src/stories/assets/context.png;agentRuntime:web/src/services/agent-service.ts;entrypoints:web/src/app.tsx;entrypoints:web/src/main.tsx;entrypoints:web/.storybook/main.ts;entrypoints:test/benchmark/__main__.py,,"에이전트 하네스/MCP 관점에서 cli-first, api/server, agent/tool runtime 구조로 읽힌다. 핵심 소스 근거는 mcp=web/src/services/mcp-server-service.ts, web/src/pages/user-setting/mcp/edit-mcp-dialog.tsx, web/src/pages/user-setting/mcp/edit-mcp-form.tsx이고, 의존성 단서는 openai, anthropic, mcp, click, ollama, llama, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/infiniflow__ragflow.md,sources/infiniflow__ragflow
mem0ai/mem0,https://github.com/mem0ai/mem0,agent-harness-mcp,에이전트 하네스/MCP,global,Python,58803,high-signal,deep-source+report,1671,340,8,false,138,monorepo/workspace;cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface,openai;langchain;pydantic;transformers;ollama;llama;chroma;qdrant;milvus;weaviate;faiss,mcp:openmemory/api/tests/test_mcp_server.py;mcp:openmemory/api/app/mcp_server.py;mcp:integrations/mem0-plugin/.codex-mcp.json;mcp:integrations/mem0-plugin/.cursor-mcp.json;agentRuntime:AGENTS.md;agentRuntime:tests/memory/test_json_prompt_fix.py;agentRuntime:tests/memory/test_main.py;agentRuntime:tests/memory/test_memory_utils.py;entrypoints:server/main.py;entrypoints:openmemory/api/main.py;entrypoints:mem0-ts/src/oss/src/index.ts;entrypoints:mem0-ts/src/community/src/index.ts,,"에이전트 하네스/MCP 관점에서 monorepo/workspace, cli-first, api/server 구조로 읽힌다. 핵심 소스 근거는 mcp=openmemory/api/tests/test_mcp_server.py, openmemory/api/app/mcp_server.py, integrations/mem0-plugin/.codex-mcp.json이고, 의존성 단서는 openai, langchain, pydantic, transformers, ollama, llama, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/mem0ai__mem0.md,sources/mem0ai__mem0
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,agent-harness-mcp,에이전트 하네스/MCP,global,Python,53827,high-signal,deep-source+report,3287,512,10,false,138,cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface;containerized deploy,openai;langchain;fastapi;pydantic;transformers;qdrant,mcp:lib/crewai-tools/tests/adapters/mcp_adapter_test.py;mcp:lib/crewai-tools/src/crewai_tools/adapters/mcp_adapter.py;mcp:lib/crewai/tests/mcp/__init__.py;mcp:lib/crewai/tests/mcp/test_amp_mcp.py;agentRuntime:lib/crewai-tools/tool.specs.json;agentRuntime:lib/crewai-tools/tests/tools/__init__.py;agentRuntime:lib/crewai-tools/tests/tools/arxiv_paper_tool_test.py;agentRuntime:lib/crewai-tools/tests/tools/brave_search_tool_test.py;entrypoints:lib/crewai/src/crewai/a2a/extensions/server.py;entrypoints:lib/cli/src/crewai_cli/triggers/main.py;entrypoints:lib/cli/src/crewai_cli/tools/main.py;entrypoints:lib/cli/src/crewai_cli/templates/flow/main.py,,"에이전트 하네스/MCP 관점에서 cli-first, api/server, agent/tool runtime 구조로 읽힌다. 핵심 소스 근거는 mcp=lib/crewai-tools/tests/adapters/mcp_adapter_test.py, lib/crewai-tools/src/crewai_tools/adapters/mcp_adapter.py, lib/crewai/tests/mcp/__init__.py이고, 의존성 단서는 openai, langchain, fastapi, pydantic, transformers, qdrant, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/crewAIInc__crewAI.md,sources/crewAIInc__crewAI
aaif-goose/goose,https://github.com/aaif-goose/goose,agent-harness-mcp,에이전트 하네스/MCP,global,Rust,49691,high-signal,deep-source+report,2323,489,10,false,138,monorepo/workspace;cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface,mcp;llama;opentelemetry,mcp:ui/sdk/src/mcp-apps.ts;mcp:ui/desktop/tests/e2e/basic-mcp.ts;mcp:scripts/test_mcp.sh;mcp:examples/mcp-wiki/.gitignore;agentRuntime:AGENTS.md;agentRuntime:workflow_recipes/release_risk_check/recipe.yaml;agentRuntime:workflow_recipes/release_risk_check/release_risk_report.py;agentRuntime:workflow_recipes/release_risk_check/run.sh;entrypoints:ui/sdk/src/index.ts;entrypoints:ui/desktop/src/App.test.tsx;entrypoints:ui/desktop/src/App.tsx;entrypoints:ui/desktop/src/main.ts,,"에이전트 하네스/MCP 관점에서 monorepo/workspace, cli-first, api/server 구조로 읽힌다. 핵심 소스 근거는 mcp=ui/sdk/src/mcp-apps.ts, ui/desktop/tests/e2e/basic-mcp.ts, scripts/test_mcp.sh이고, 의존성 단서는 mcp, llama, opentelemetry, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/aaif-goose__goose.md,sources/aaif-goose__goose
mudler/LocalAI,https://github.com/mudler/LocalAI,agent-harness-mcp,에이전트 하네스/MCP,global,Go,46944,high-signal,deep-source+report,2597,282,7,false,138,cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface;containerized deploy,openai;anthropic;modelcontextprotocol;langchain;ollama;llama;faiss;opentelemetry;prometheus,mcp:tests/e2e/e2e_mcp_test.go;mcp:tests/e2e/distributed/mcp_ci_job_helper_test.go;mcp:tests/e2e/distributed/mcp_ci_job_test.go;mcp:tests/e2e/distributed/mcp_nats_test.go;agentRuntime:AGENTS.md;agentRuntime:tests/e2e/distributed/agent_distributed_test.go;agentRuntime:tests/e2e/distributed/agent_native_executor_test.go;agentRuntime:tests/e2e/distributed/skills_distributed_test.go;entrypoints:tests/e2e-ui/main.go;entrypoints:tests/e2e/mock-backend/main.go;entrypoints:pkg/mcp/localaitools/server.go;entrypoints:pkg/grpc/server.go,,"에이전트 하네스/MCP 관점에서 cli-first, api/server, agent/tool runtime 구조로 읽힌다. 핵심 소스 근거는 mcp=tests/e2e/e2e_mcp_test.go, tests/e2e/distributed/mcp_ci_job_helper_test.go, tests/e2e/distributed/mcp_ci_job_test.go이고, 의존성 단서는 openai, anthropic, modelcontextprotocol, langchain, ollama, llama, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/mudler__LocalAI.md,sources/mudler__LocalAI
agno-agi/agno,https://github.com/agno-agi/agno,agent-harness-mcp,에이전트 하네스/MCP,global,Python,40751,high-signal,deep-source+report,4746,716,8,false,138,cli-first;api/server;agent/tool runtime;retrieval/vector path;spec/docs-driven;eval/test harness;security/policy surface;containerized deploy,,mcp:libs/agno/tests/unit/tools/test_mcp.py;mcp:libs/agno/tests/system/tests/test_mcp_routes.py;mcp:libs/agno/tests/integration/os/test_register_mcp_tools.py;mcp:libs/agno/agno/utils/mcp.py;agentRuntime:AGENTS.md;agentRuntime:libs/agno_infra/agno/docker/context.py;agentRuntime:libs/agno_infra/agno/base/context.py;agentRuntime:libs/agno_infra/agno/aws/context.py;entrypoints:cookbook/91_tools/mcp/streamable_http_transport/server.py;entrypoints:cookbook/91_tools/mcp/sse_transport/server.py;entrypoints:cookbook/91_tools/mcp/local_server/server.py;entrypoints:cookbook/91_tools/mcp/dynamic_headers/server.py,,"에이전트 하네스/MCP 관점에서 cli-first, api/server, agent/tool runtime 구조로 읽힌다. 핵심 소스 근거는 mcp=libs/agno/tests/unit/tools/test_mcp.py, libs/agno/tests/system/tests/test_mcp_routes.py, libs/agno/tests/integration/os/test_register_mcp_tools.py이고, 의존성 단서는 dependency cue 약함, 검증/운영 단서는 test/eval 경로가 보임, CI workflow가 보임, container/deploy 파일이 보임, 에이전트 지시문 파일이 보임이다. 이 판단은 README 메타데이터가 아니라 로컬 소스의 12개 파일 경로를 직접 스캔해야 확인된다.",reports/global-trending/repositories/agno-agi__agno.md,sources/agno-agi__agno
