path,title,kind,folder,priority,categories,summary
reports/categories/README.md,Category Index,category-guide,categories,182,start-here;category-guides,"Category Index Generated 2026 06 18T13 58 59.186Z This folder reorganizes the repository's scattered open source, research, presentation, and trend materials into a durable taxonomy. Original source files remain in place; category folders link back to the orig"
reports/comparisons/01-project-taxonomy-and-feature-comparison.md,30개 오픈소스 AI 코딩/에이전트 프로젝트 비교 분류 보고서,comparison-report,comparisons,182,start-here;comparisons,"30개 오픈소스 AI 코딩/에이전트 프로젝트 비교 분류 보고서 기준일 2026 06 11 KST. 기반 자료 reports/repositories/ .md 30개 상세 분석, data/source inventory.json , data/project comparison matrix.json . 이 문서는 각 레포지토리의 세부 구현을 반복하지 않고, 사용자가 실제 설계 판단을 할 때 필요한 비교 축으로 재배열한다. 핵심 결론은 다음과 같다. 1. 이 30개는 모두"
reports/comparisons/02-similarity-clusters.md,유사군별 비교와 관계 지도,comparison-report,comparisons,182,start-here;comparisons,"유사군별 비교와 관계 지도 기준일 2026 06 11 KST. 대상 30개 레포지토리 전체. 이 문서는 01 project taxonomy and feature comparison.md 보다 관계 중심이다. 목적은 ""이 레포와 비슷한 레포가 무엇인가"", ""같은 군에서 어떤 프로젝트를 먼저 봐야 하는가"", ""설계 철학이 어디서 갈라지는가""를 정리하는 것이다. 1. 전체 유사도 지도 2. 클러스터 A 공식/터미널 코딩 에이전트 구성 핵심 openai/codex , "
reports/llm-wiki/00-llm-wiki-100-summary.md,LLM 위키 / AI 지식베이스 오픈소스 100개 구조 분석 총괄,llm-wiki-report,llm-wiki/00-llm-wiki-100-summary.md,182,start-here;llm-wiki,LLM 위키 / AI 지식베이스 오픈소스 100개 구조 분석 총괄 생성일 2026 06 17T22 56 52.162Z 검증 범위 target group filter llm wiki 100 실제 로컬 클론 100개 데이터 파일에 명시된 target 100개 target 중 로컬 클론 누락 0개 레포별 상세 보고서 reports/llm wiki/repositories/ .md 구조 데이터 data/llm wiki structure analysis 100.json 로
reports/llm-wiki/01-llm-wiki-100-selection-and-patterns.md,LLM 위키 / AI 지식베이스 오픈소스 100개 비교 요약,llm-wiki-report,llm-wiki/01-llm-wiki-100-selection-and-patterns.md,182,start-here;llm-wiki;comparisons,LLM 위키 / AI 지식베이스 오픈소스 100개 비교 요약 생성일 2026 06 17T22 58 03.126Z 산출물 후보 수집 데이터 data/llm wiki repositories.json 구조 분석 데이터 data/llm wiki structure analysis 100.json 총괄 구조 분석 reports/llm wiki/00 llm wiki 100 summary.md 레포별 구조 분석 reports/llm wiki/repositories/ .md 수
reports/llm-wiki/02-code-level-pipeline-comparison.md,LLM Wiki 100 Code-Level Pipeline Comparison,llm-wiki-report,llm-wiki/02-code-level-pipeline-comparison.md,182,start-here;llm-wiki;comparisons,"LLM Wiki 100 Code Level Pipeline Comparison 작성일 2026 06 17T23 31 58.667Z 이 문서는 data/llm wiki repositories.json 의 100개 로컬 클론을 같은 정적 코드 스캔 기준으로 다시 비교한 결과다. 기존 구조 분석이 README, manifest, 디렉터리 표면을 본 1차 분석이라면, 이 문서는 실제 소스에서 ingestion, parsing, chunking, embedding, re"
reports/research/02-evidence-catalog-100-sources.md,AI 에이전트/하네스/컨텍스트/루프 엔지니어링 근거자료 165선,research-synthesis,research,182,start-here;coding-agents;research-foundations,"AI 에이전트/하네스/컨텍스트/루프 엔지니어링 근거자료 165선 기준일 2026 06 11 KST. 범위 AI 코딩 에이전트, agent harness, tool use, MCP/A2A, context engineering, loop engineering, evaluation, benchmark, multi agent architecture. 원칙 기업 공식 문서/엔지니어링 글을 우선하고, 논문/벤치마크/오픈소스 문서를 보조 근거로 사용했다. 서로 충돌하는 해석"
reports/spec-driven/00-spec-extraction-and-spec-memory-synthesis.md,Spec-Driven Development: 스펙 추출과 스펙 메모리 합성 보고서,spec-driven-report,spec-driven,182,start-here;spec-driven,"Spec Driven Development 스펙 추출과 스펙 메모리 합성 보고서 작성일 2026 06 18 이 문서는 기존 수집물의 빈 부분을 메운다. 이미 이 저장소에는 650개 연구자료, 20개 spec driven 오픈소스 후보, 100개 LLM 위키/AI 지식베이스 후보, 127개 클론 구조 분석이 있다. 부족했던 것은 ""스펙을 어떻게 뽑고, 왜 그렇게 저장해야 에이전트가 계속 기억하고 재사용하는가""에 대한 통합 비교다. 근거 위치 연구 코퍼스 data/"
reports/00-source-inventory.md,Source Inventory,overview-report,root,158,start-here;full-source-scan;source-catalogs-and-inventories,"Source Inventory Generated at 2026 06 10T14 00 24.330Z Repository Commit Lang Files License Archived Source dirs 1 openclaw/openclaw bb6e4772 TypeScript 19887 other no src, packages, apps, docs 2 ultraworkers/claw code d229a9b Rust 386 mit no src, docs 3 NousR"
reports/adjacent-tech/01-context-rag-vllm-local-llm-harness-trends.md,"컨텍스트 엔지니어링, RAG, vLLM/local LLM, 에이전트 하네스 최신 트렌드 분석",infrastructure-report,adjacent-tech,157,start-here;agent-harness;llm-wiki;adjacent-infrastructure,"컨텍스트 엔지니어링, RAG, vLLM/local LLM, 에이전트 하네스 최신 트렌드 분석 기준일 2026 06 13 KST. 대상 새로 선정/clone한 50개 오픈소스 레포지토리와 공식 문서. 관련 데이터 data/adjacent tech repositories.json , data/adjacent tech source inventory.json , reports/adjacent tech source inventory.md . 1. 결론 요약 기존 30개 "
reports/adjacent-tech/02-repository-analysis-50.md,컨텍스트/RAG/vLLM/local LLM/하네스 50개 레포지토리 상세 분석,infrastructure-report,adjacent-tech,157,llm-wiki;adjacent-infrastructure,"컨텍스트/RAG/vLLM/local LLM/하네스 50개 레포지토리 상세 분석 기준일 2026 06 13 KST. 분석 근거 data/adjacent tech repositories.json , data/adjacent tech github metadata.json , data/adjacent tech source inventory.json , reports/adjacent tech source inventory.md , 각 clone의 README/docs/s"
reports/agent-harness/00-claude-code-codex-harness-materials-1000.md,Claude Code / Codex Harness Materials 1000+ Corpus,agent-harness-report,agent-harness,157,start-here;coding-agents;agent-harness,Claude Code / Codex Harness Materials 1000+ Corpus Generated 2026 06 18T02 20 43.625Z Scope Selected materials 1200 Raw candidates before dedupe 3622 GitHub repository search queries 20 GitHub code search queries attempted 8 Official Claude docs parsed 148 Off
reports/full-source-scan/02-file-discovery-reading-implementation-deep-dive.md,Full Source Scan Deep Dive: 필요한 파일을 찾고 읽는 구현 로직,source-scan-report,full-source-scan,157,full-source-scan,"Full Source Scan Deep Dive 필요한 파일을 찾고 읽는 구현 로직 작성일 2026 06 18 이 문서는 기존 reports/full source scan research summary 2026 06 18.md 의 후속 심화본이다. 초점은 ""전체 소스코드를 다 넣는가?""가 아니라 ""사용자의 말에서 어떤 신호를 뽑아 어떤 파일 후보를 만들고, 그중 무엇을 어느 범위로 읽는가?""이다. 조사 기준은 로컬에 클론된 실제 구현체다. 핵심 결론은 다음과 같"
reports/global-trending/00-global-open-source-trend-report-2026-06-18.md,Global Trending Open Source 500 Analysis,global-trending-report,global-trending,157,start-here;global-trending-open-source,Global Trending Open Source 500 Analysis Generated 2026 06 18T00 37 41.085Z Scope Selected repositories 500 Local clone success 500 Local clone failed 0 Per repository reports reports/global trending/repositories/ .md Analysis data data/global trending analysi
reports/korea-trending/00-korea-open-source-trend-report-2026-06-18.md,한국 개발자 커뮤니티 트렌딩 오픈소스 500개 분석,korea-trending-report,korea-trending,157,start-here;korea-trending-open-source,한국 개발자 커뮤니티 트렌딩 오픈소스 500개 분석 생성일 2026 06 18T00 02 16.992Z 검증 범위 선정 저장소 500개 로컬 클론 성공 500개 로컬 클론 실패 0개 저장소별 상세 보고서 reports/korea trending/repositories/ .md 구조/신호 데이터 data/korea trending analysis 500.json 클론 상태 데이터 data/korea trending clone status 500.json 수집 기준
reports/presentations/00-agent-harness-conference-presentation-patterns.md,Agent Harness Conference and Presentation Patterns,presentation-report,presentations,157,start-here;agent-harness;presentations-conferences,Agent Harness Conference and Presentation Patterns Generated 2026 06 18T03 37 26.867Z Scope Indexed materials 665 AI Engineer schedule sessions retained after dedupe 605 Interrupt 2026 recordings retained after dedupe 24 Source groups 17 License policy metadat
reports/presentations/01-ai-usage-trends-bigtech-korea-6-12mo.md,"AI Usage Trend Conferences: Big Tech, Amazon/AWS, Global and Korea",presentation-report,presentations,157,start-here;presentations-conferences;ai-usage-trends,"AI Usage Trend Conferences Big Tech, Amazon/AWS, Global and Korea Generated 2026 06 18T07 28 59.736Z Scope Requested window 2025 06 18 to 2026 06 18 Indexed sources 58 In requested date window 55 Near term context just outside window 3 Source policy metadata o"
reports/research/01-agent-trends-2026.md,2026 AI 코딩 에이전트 설계 트렌드 종합 보고서,research-synthesis,research,157,start-here;research-foundations,"2026 AI 코딩 에이전트 설계 트렌드 종합 보고서 기준일 2026 06 11 KST. 근거 목록 reports/research/02 evidence catalog 100 sources.md 의 S001 S165. 연결 대상 reports/repositories/ .md 30개 레포 분석과 reports/comparisons/ .md . 1. 요약 2026년 현재 AI 코딩 에이전트의 경쟁축은 ""어떤 모델을 쓰는가""에서 ""어떤 harness로 모델을 둘러싸는가"
reports/categories/agent-harness-orchestration/README.md,Agent Harness and Orchestration,category-guide,categories,156,category-guides;agent-harness,"Agent Harness and Orchestration Generated 2026 06 18T13 58 59.186Z Agent harnesses, multi agent runtimes, skills, tools, workflows, task orchestration, and production agent frameworks. 요약 조사 단위 agent harness orchestration artifact 카테고리에 속한 오픈소스, 논문, 발표/트렌드, 참고"
reports/categories/ai-infrastructure-serving/README.md,AI Infrastructure and Serving,category-guide,categories,156,category-guides;adjacent-infrastructure,"AI Infrastructure and Serving Generated 2026 06 18T13 58 59.186Z LLM serving, inference engines, GPUs, AI factories, training/inference infrastructure, Kubernetes, runtimes, and model deployment. 요약 조사 단위 ai infrastructure serving artifact 카테고리에 속한 오픈소스, 논문, 발"
reports/categories/ai-usage-trends/README.md,AI Usage Trends,category-guide,categories,156,category-guides;ai-usage-trends,"AI Usage Trends Generated 2026 06 18T13 58 59.186Z Recent AI adoption trends from Amazon/AWS, Microsoft, Google, NVIDIA, Salesforce, OpenAI, Anthropic, GitHub, NAVER, Samsung, SK, and Korea events. 요약 조사 단위 ai usage trends artifact 카테고리에 속한 오픈소스, 논문, 발표/트렌드, 참"
reports/categories/coding-agents-ides/README.md,Coding Agents and IDEs,category-guide,categories,156,category-guides;coding-agents,"Coding Agents and IDEs Generated 2026 06 18T13 58 59.186Z Codex, Claude Code, Aider, OpenHands, Cline/Roo, Gemini CLI, code review, coding assistants, and agentic IDE workflows. 요약 조사 단위 coding agents ides artifact 카테고리에 속한 오픈소스, 논문, 발표/트렌드, 참고자료 묶음입니다. 포함 범위 "
reports/categories/context-memory/README.md,Context and Memory,category-guide,categories,156,category-guides,"Context and Memory Generated 2026 06 18T13 58 59.186Z Long term memory, session state, context engineering, recall, persistence, personalization, and agent memory systems. 요약 조사 단위 context memory artifact 카테고리에 속한 오픈소스, 논문, 발표/트렌드, 참고자료 묶음입니다. 포함 범위 1,178 entr"
