name,url,category,categoryKorean,region,language,stars,forks,trendScore,trendScopes,compareScore,maturity,evidence,fileCount,dirCount,sourceDepthScore,keyReferenceCount,features,dominantBuckets,dependencyGroups,commandCategories,riskCategories,risks,standout,sourceDeepDivePath,reportPath,localPath
anomalyco/opencode,https://github.com/anomalyco/opencode,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,175712,21355,210,global,580,high-signal,deep-source+report,5663,708,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;docs;agentRuntime;retrieval;security,,serve-dev;quality;utility;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/anomalyco__opencode.md,reports/global-trending/repositories/anomalyco__opencode.md,sources/anomalyco__opencode
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,105365,14098,200,global,562,high-signal,deep-source+report,2856,263,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;security;docs;retrieval,webRuntime,serve-dev;test;utility;container;build;quality;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/google-gemini__gemini-cli.md,reports/global-trending/repositories/google-gemini__gemini-cli.md,sources/google-gemini__gemini-cli
openai/codex,https://github.com/openai/codex,agent-harness-mcp,에이전트 하네스/MCP,global,Rust,91749,13558,200,global,561,high-signal,deep-source+report,4827,702,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;security;config;mcp,,quality;utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/openai__codex.md,reports/global-trending/repositories/openai__codex.md,sources/openai__codex
vllm-project/vllm,https://github.com/vllm-project/vllm,agent-harness-mcp,에이전트 하네스/MCP,global,Python,83195,18159,194,global,552,high-signal,deep-source+report,5488,713,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;agentRuntime;spec;retrieval,modelRuntime;webRuntime,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/6/vllm-project__vllm.md,reports/global-trending/repositories/vllm-project__vllm.md,sources/vllm-project__vllm
infiniflow/ragflow,https://github.com/infiniflow/ragflow,agent-harness-mcp,에이전트 하네스/MCP,korea,Python,83034,9597,195,global,554,high-signal,deep-source+report,3628,571,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,agentRuntime;retrieval;eval;docs;security,llmProviders;agentProtocols;modelRuntime;developerSurface;observability;browserAutomation,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/infiniflow__ragflow.md,reports/global-trending/repositories/infiniflow__ragflow.md,sources/infiniflow__ragflow
mem0ai/mem0,https://github.com/mem0ai/mem0,agent-harness-mcp,에이전트 하네스/MCP,global,Python,58803,6767,250,global,628,high-signal,deep-source+report,1671,340,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;eval;retrieval;agentRuntime;config,llmProviders;agentFrameworks;vectorStores;modelRuntime,utility;quality;build;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/f/mem0ai__mem0.md,reports/global-trending/repositories/mem0ai__mem0.md,sources/mem0ai__mem0
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,agent-harness-mcp,에이전트 하네스/MCP,global,Python,53827,7532,208,global,568,high-signal,deep-source+report,3287,512,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,docs;eval;agentRuntime;retrieval;security,llmProviders;agentFrameworks;vectorStores;modelRuntime;webRuntime,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/crewAIInc__crewAI.md,reports/global-trending/repositories/crewAIInc__crewAI.md,sources/crewAIInc__crewAI
aaif-goose/goose,https://github.com/aaif-goose/goose,agent-harness-mcp,에이전트 하네스/MCP,global,Rust,49691,5261,200,global,557,high-signal,deep-source+report,2323,489,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,mcp;docs;eval;retrieval;agentRuntime,agentProtocols;modelRuntime;observability,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/3/aaif-goose__goose.md,reports/global-trending/repositories/aaif-goose__goose.md,sources/aaif-goose__goose
mudler/LocalAI,https://github.com/mudler/LocalAI,agent-harness-mcp,에이전트 하네스/MCP,global,Go,46944,4146,222,global,587,high-signal,deep-source+report,2597,282,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;config;spec;docs;agentRuntime,llmProviders;agentProtocols;agentFrameworks;vectorStores;modelRuntime;observability,utility;build;test;container;serve-dev,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/5/mudler__LocalAI.md,reports/global-trending/repositories/mudler__LocalAI.md,sources/mudler__LocalAI
agno-agi/agno,https://github.com/agno-agi/agno,agent-harness-mcp,에이전트 하네스/MCP,global,Python,40751,5533,180,global,527,high-signal,deep-source+report,4746,716,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;agentRuntime;retrieval;docs;mcp,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/e/agno-agi__agno.md,reports/global-trending/repositories/agno-agi__agno.md,sources/agno-agi__agno
continuedev/continue,https://github.com/continuedev/continue,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,33891,4697,150,global,484,high-signal,deep-source+report,2981,498,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;eval;agentRuntime;retrieval;security,,serve-dev;quality;utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/e/continuedev__continue.md,reports/global-trending/repositories/continuedev__continue.md,sources/continuedev__continue
sgl-project/sglang,https://github.com/sgl-project/sglang,ai-infrastructure-serving,AI 인프라/서빙,global,Python,29137,6585,136,global,463,high-signal,deep-source+report,6477,1022,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;agentRuntime;retrieval;ci,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/sgl-project__sglang.md,reports/global-trending/repositories/sgl-project__sglang.md,sources/sgl-project__sglang
chroma-core/chroma,https://github.com/chroma-core/chroma,agent-harness-mcp,에이전트 하네스/MCP,global,Rust,28464,2326,149,global,481,high-signal,deep-source+report,2028,448,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;retrieval;docs;config;entrypoints,vectorStores;webRuntime;developerSurface;observability,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/f/chroma-core__chroma.md,reports/global-trending/repositories/chroma-core__chroma.md,sources/chroma-core__chroma
promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,22326,1995,174,global,514,high-signal,deep-source+report,5398,1001,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;docs;agentRuntime;security;retrieval,llmProviders;webRuntime;developerSurface;observability;browserAutomation,utility;quality;build;serve-dev;test;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/promptfoo__promptfoo.md,reports/global-trending/repositories/promptfoo__promptfoo.md,sources/promptfoo__promptfoo
Kilo-Org/kilocode,https://github.com/Kilo-Org/kilocode,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,21173,2674,154,global,485,high-signal,deep-source+report,6841,912,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;retrieval;security;docs,,serve-dev;quality;utility;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/Kilo-Org__kilocode.md,reports/global-trending/repositories/Kilo-Org__kilocode.md,sources/Kilo-Org__kilocode
can1357/oh-my-pi,https://github.com/can1357/oh-my-pi.git,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,13165,1121,172,global,507,high-signal,deep-source+report,4210,455,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;retrieval;docs;security,,serve-dev;utility;build;test;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/3/can1357__oh-my-pi.md,reports/global-trending/repositories/can1357__oh-my-pi.md,sources/can1357__oh-my-pi
potpie-ai/potpie,https://github.com/potpie-ai/potpie,agent-harness-mcp,에이전트 하네스/MCP,mixed,Python,5456,637,0,,259,high-signal,deep-source+report,1494,274,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,agentRuntime;eval;security;retrieval;container,llmProviders;webRuntime,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/potpie-ai__potpie.md,reports/clone-structures/potpie-ai__potpie.md,sources/potpie-ai__potpie
codervisor/leanspec,https://github.com/codervisor/leanspec,agent-harness-mcp,에이전트 하네스/MCP,mixed,Rust,262,20,0,,236,high-signal,deep-source+report,1392,505,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;eval;spec;agentRuntime;mcp,,utility;test;serve-dev;build;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/e/codervisor__leanspec.md,reports/clone-structures/codervisor__leanspec.md,sources/codervisor__leanspec
agenta-ai/agenta,https://github.com/agenta-ai/agenta,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,9263,1925,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;eval;retrieval;agentRuntime;spec,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/agenta-ai__agenta.md,reports/clone-structures/agenta-ai__agenta.md,sources/agenta-ai__agenta
All-Hands-AI/OpenHands,https://github.com/All-Hands-AI/OpenHands,agent-harness-mcp,에이전트 하네스/MCP,korea,unknown,0,0,0,,192,solid,deep-source+report,2384,367,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;agentRuntime;security;docs;retrieval,llmProviders;agentProtocols;webRuntime;observability;browserAutomation,build;quality;utility;test;serve-dev,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/e/All-Hands-AI__OpenHands.md,reports/clone-structures/All-Hands-AI__OpenHands.md,sources/All-Hands-AI__OpenHands
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,llm-wiki-rag,LLM 위키/RAG/지식베이스,mixed,unknown,0,0,0,,192,solid,deep-source+report,6014,1088,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;docs;retrieval;security,llmProviders;agentProtocols;agentFrameworks;webRuntime;observability,utility;quality;build;serve-dev;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/Arize-ai__phoenix.md,reports/clone-structures/Arize-ai__phoenix.md,sources/Arize-ai__phoenix
