folder,readme,reports,role,main_report_types,related_topics
reports/adjacent-tech,reports/adjacent-tech/README.md,4,인접 스택 종합과 소스맵.,infrastructure-report (4),LLM 위키/RAG/지식베이스 (4); 인접 AI 인프라 (4); 에이전트 하네스/MCP/오케스트레이션 (2); 먼저 읽기 (1); 발표/컨퍼런스 (1); 소스 코드 딥다이브 (1); 연구 근거 (1)
reports/agent-harness,reports/agent-harness/README.md,2,에이전트 실행과 하네스 연구.,agent-harness-report (2),에이전트 하네스/MCP/오케스트레이션 (2); 코딩 에이전트/IDE (2); 먼저 읽기 (1)
reports/clone-structures,reports/clone-structures/README.md,127,클론된 오픈소스의 물리 소스 트리 분석.,clone-structure-report (127),레포별 딥다이브 (127); 클론 구조/인벤토리 (127); 스펙 드리븐/요구사항 (15); 코딩 에이전트/IDE (10); 에이전트 하네스/MCP/오케스트레이션 (5); LLM 위키/RAG/지식베이스 (4); 인접 AI 인프라 (1)
reports/comparisons,reports/comparisons/README.md,2,프로젝트 간 비교와 관계 지도.,comparison-report (2),먼저 읽기 (2); 비교/유사도 지도 (2); 소스 코드 딥다이브 (1)
reports/full-source-scan,reports/full-source-scan/README.md,1,소스 발견과 코드 검색 메커니즘.,source-scan-report (1),전체 소스 스캔/코드 검색 (1)
reports/global-trending,reports/global-trending/README.md,501,전세계 오픈소스 트렌드 코퍼스.,"per-repository-report (500), global-trending-report (1)",글로벌 트렌딩 오픈소스 (501); 레포별 딥다이브 (500); 에이전트 하네스/MCP/오케스트레이션 (82); 코딩 에이전트/IDE (26); LLM 위키/RAG/지식베이스 (13); 인접 AI 인프라 (3); 먼저 읽기 (1); 비교/유사도 지도 (1); 스펙 드리븐/요구사항 (1)
reports/global-trending/repositories,reports/global-trending/repositories/README.md,500,글로벌 트렌드 레포별 딥다이브.,per-repository-report (500),글로벌 트렌딩 오픈소스 (500); 레포별 딥다이브 (500); 에이전트 하네스/MCP/오케스트레이션 (82); 코딩 에이전트/IDE (26); LLM 위키/RAG/지식베이스 (13); 인접 AI 인프라 (3); 비교/유사도 지도 (1); 스펙 드리븐/요구사항 (1)
reports/korea-trending,reports/korea-trending/README.md,501,한국 오픈소스 트렌드 코퍼스.,"per-repository-report (500), korea-trending-report (1)",한국 트렌딩 오픈소스 (501); 레포별 딥다이브 (500); 에이전트 하네스/MCP/오케스트레이션 (46); LLM 위키/RAG/지식베이스 (15); 코딩 에이전트/IDE (5); 스펙 드리븐/요구사항 (2); 먼저 읽기 (1); 발표/컨퍼런스 (1); 소스 코드 딥다이브 (1)
reports/korea-trending/repositories,reports/korea-trending/repositories/README.md,500,한국 트렌드 레포별 딥다이브.,per-repository-report (500),레포별 딥다이브 (500); 한국 트렌딩 오픈소스 (500); 에이전트 하네스/MCP/오케스트레이션 (46); LLM 위키/RAG/지식베이스 (15); 코딩 에이전트/IDE (5); 스펙 드리븐/요구사항 (2); 발표/컨퍼런스 (1)
reports/llm-wiki,reports/llm-wiki/README.md,203,지식베이스와 retrieval 프로젝트 분석.,"llm-wiki-report (103), per-repository-report (100)",LLM 위키/RAG/지식베이스 (203); 레포별 딥다이브 (100); 코딩 에이전트/IDE (6); 에이전트 하네스/MCP/오케스트레이션 (4); 먼저 읽기 (3); 비교/유사도 지도 (2); 소스 코드 딥다이브 (2)
reports/llm-wiki/code-level-repositories,reports/llm-wiki/code-level-repositories/README.md,100,LLM wiki 프로젝트의 상세 코드 경로 딥다이브.,llm-wiki-report (100),LLM 위키/RAG/지식베이스 (100); 코딩 에이전트/IDE (3); 에이전트 하네스/MCP/오케스트레이션 (2)
reports/llm-wiki/repositories,reports/llm-wiki/repositories/README.md,100,LLM wiki 코퍼스 레포 요약.,per-repository-report (100),LLM 위키/RAG/지식베이스 (100); 레포별 딥다이브 (100); 코딩 에이전트/IDE (3); 에이전트 하네스/MCP/오케스트레이션 (2)
reports/presentations,reports/presentations/README.md,5,발표와 산업 신호 카탈로그.,presentation-report (5),발표/컨퍼런스 (5); AI 활용 트렌드 (2); 먼저 읽기 (2); 소스 카탈로그/인벤토리 (2); 에이전트 하네스/MCP/오케스트레이션 (1); 코딩 에이전트/IDE (1)
reports/repositories,reports/repositories/README.md,30,핵심 30개 프로젝트 분석.,per-repository-report (30),레포별 딥다이브 (30); 코딩 에이전트/IDE (30)
reports/research,reports/research/README.md,4,"논문, 근거, 이론 종합.",research-synthesis (4),연구 근거 (4); 먼저 읽기 (3); 코딩 에이전트/IDE (1)
reports/spec-driven,reports/spec-driven/README.md,1,스펙 드리븐 개발과 요구사항 분석.,spec-driven-report (1),먼저 읽기 (1); 스펙 드리븐/요구사항 (1)
